rank,hex_id,points_count,neighbor_points_count,density,score,confidence,category
1,892c2aab33bffff,10,0,0,63.0233,1,HIGH
2,892c2aa951bffff,7,0,0,50.2089,0.85,HIGH
3,892c2aab30fffff,5,0,0,47.7153,0.79,MEDIUM
4,892c2aab367ffff,6,0,0,41.8325,0.71,MEDIUM
5,892c2aab307ffff,13,0,0,39.5413,0.75,MEDIUM
6,892c2aa9553ffff,11,0,0,38.9922,0.72,MEDIUM
7,892c2a334d7ffff,0,0,0,38.8889,0.6,MEDIUM
8,892c2aab36fffff,2,0,0,38.1417,0.61,MEDIUM
9,892c2aa95cfffff,12,0,0,36.9983,0.7,MEDIUM
10,892c2aab377ffff,4,0,0,34.1537,0.57,MEDIUM
11,892c2aab00fffff,6,0,0,33.4065,0.58,MEDIUM
12,892c2aab38bffff,1,0,0,33.006,0.52,MEDIUM
13,892c2aab38fffff,18,0,0,32.8122,0.7,MEDIUM
14,892c2aa959bffff,13,0,0,30.4673,0.61,MEDIUM
15,892c2a1610bffff,0,0,0,30.463,0.47,MEDIUM
16,892c2aab1c7ffff,0,0,0,30.463,0.47,MEDIUM
17,892c2aab317ffff,9,0,0,29.3691,0.55,MEDIUM
18,892c2aa95bbffff,5,0,0,28.919,0.5,MEDIUM
19,892c2aa86c7ffff,4,0,0,28.3204,0.48,MEDIUM
20,892c2aa8693ffff,2,0,0,27.7713,0.45,MEDIUM
21,892c2aa9557ffff,17,0,0,27.6766,0.61,MEDIUM
22,892c2aa8657ffff,2,0,0,27.1232,0.44,MEDIUM
23,892c2aab39bffff,5,0,0,26.3264,0.46,MEDIUM
24,892c2aa868bffff,0,0,0,25.9259,0.4,MEDIUM
25,892c2aab313ffff,1,0,0,25.8764,0.41,MEDIUM
26,892c2aab117ffff,2,0,0,25.1787,0.41,MEDIUM
27,892c2aab323ffff,8,0,0,24.8816,0.47,MEDIUM
28,892c2aab11bffff,1,0,0,24.5801,0.39,MEDIUM
29,892c2aab077ffff,6,0,0,24.3325,0.44,MEDIUM
30,892c2aa8697ffff,0,0,0,23.9815,0.37,MEDIUM
31,892c2aa95b3ffff,1,0,0,23.932,0.38,MEDIUM
32,892c2aab143ffff,0,0,0,23.3333,0.36,MEDIUM
33,892c2aa95d7ffff,5,0,0,23.0857,0.41,MEDIUM
34,892c2aab14fffff,6,0,0,23.0362,0.42,MEDIUM
35,892c2aa94afffff,1,0,0,22.6357,0.36,MEDIUM
36,892c2aab303ffff,1,0,0,22.6357,0.36,MEDIUM
37,892c2aab1c3ffff,1,0,0,21.9875,0.35,MEDIUM
38,892c2aab1d7ffff,0,0,0,21.3889,0.33,MEDIUM
39,892c2aa8353ffff,0,0,0,21.3889,0.33,MEDIUM
40,892c2aab18fffff,0,0,0,21.3889,0.33,MEDIUM
41,892c2aab193ffff,1,0,0,21.3394,0.34,MEDIUM
42,892c2aa8643ffff,0,0,0,20.7407,0.32,MEDIUM
43,892c2aab4b3ffff,0,0,0,20.7407,0.32,MEDIUM
44,892c2aab067ffff,9,0,0,20.295,0.41,MEDIUM
45,892c2aab3abffff,12,0,0,20.1464,0.44,MEDIUM
46,892c2aaa567ffff,2,0,0,19.9935,0.33,LOW
47,892c2aa957bffff,3,0,0,19.944,0.34,LOW
48,892c2aab557ffff,0,0,0,19.4444,0.3,LOW
49,892c2a3349bffff,0,0,0,19.4444,0.3,LOW
50,892c2aa95dbffff,6,0,0,19.1473,0.36,LOW
51,892c2aa95d3ffff,4,0,0,18.5982,0.33,LOW
52,892c2aab113ffff,11,0,0,18.2515,0.4,LOW
53,892c2aab577ffff,0,0,0,18.1481,0.28,LOW
54,892c2aab18bffff,4,0,0,17.95,0.32,LOW
55,892c2aab57bffff,5,0,0,17.9005,0.33,LOW
56,892c2ab9b63ffff,0,0,0,17.5,0.27,LOW
57,892c2aa95abffff,0,0,0,17.5,0.27,LOW
58,892c2aab5c3ffff,1,0,0,17.4505,0.28,LOW
59,892c2aab023ffff,1,0,0,17.4505,0.28,LOW
60,892c2aab10bffff,5,0,0,17.2524,0.32,LOW
61,892c2aa95cbffff,22,0,0,17.0586,0.5,LOW
62,892c2aab383ffff,12,0,0,16.9057,0.39,LOW
63,892c2aa9583ffff,2,0,0,16.7528,0.28,LOW
64,892c2aab1cfffff,2,0,0,16.7528,0.28,LOW
65,892c2aab127ffff,2,0,0,16.7528,0.28,LOW
66,892c2aab103ffff,4,0,0,16.6537,0.3,LOW
67,892c2aa864bffff,9,0,0,16.4061,0.35,LOW
68,892c2aa9587ffff,13,0,0,16.208,0.39,LOW
69,892c2aaa56fffff,0,0,0,16.2037,0.25,LOW
70,892c2aaa5c7ffff,0,0,0,16.2037,0.25,LOW
71,892c2aab033ffff,1,0,0,16.1542,0.26,LOW
72,892c2aab56bffff,1,0,0,16.1542,0.26,LOW
73,892c2aa861bffff,2,0,0,16.1047,0.27,LOW
74,892c2aab163ffff,2,0,0,16.1047,0.27,LOW
75,892c2aab50bffff,2,0,0,16.1047,0.27,LOW
76,892c2aab1bbffff,2,0,0,16.1047,0.27,LOW
77,892c2ab9a2bffff,2,0,0,16.1047,0.27,LOW
78,892c2aab03bffff,6,0,0,15.9065,0.31,LOW
79,892c2aab187ffff,0,0,0,15.5556,0.24,LOW
80,892c2aaa577ffff,0,0,0,15.5556,0.24,LOW
81,892c2aa90b7ffff,1,0,0,15.506,0.25,LOW
82,892c2aa86b7ffff,2,0,0,15.4565,0.26,LOW
83,892c2aab12fffff,2,0,0,15.4565,0.26,LOW
84,892c2aab10fffff,2,0,0,15.4565,0.26,LOW
85,892c2aab543ffff,3,0,0,15.407,0.27,LOW
86,892c2aab483ffff,3,0,0,15.407,0.27,LOW
87,892c2aa9eabffff,0,0,0,14.9074,0.23,LOW
88,892c2aaa267ffff,0,0,0,14.9074,0.23,LOW
89,892c2aab59bffff,0,0,0,14.9074,0.23,LOW
90,892c2aab54fffff,0,0,0,14.9074,0.23,LOW
91,892c2aa9e33ffff,1,0,0,14.8579,0.24,LOW
92,892c2aab487ffff,2,0,0,14.8084,0.25,LOW
93,892c2aa8683ffff,2,0,0,14.8084,0.25,LOW
94,892c2aab02bffff,8,0,0,14.5112,0.31,LOW
95,892c2a334cfffff,0,0,0,14.2593,0.22,LOW
96,892c2aa86a3ffff,0,0,0,14.2593,0.22,LOW
97,892c2aa84abffff,0,0,0,14.2593,0.22,LOW
98,892c2aaa51bffff,0,0,0,14.2593,0.22,LOW
99,892c2aaa817ffff,0,0,0,14.2593,0.22,LOW
100,892c2aab153ffff,0,0,0,14.2593,0.22,LOW
101,892c2aab1d3ffff,0,0,0,14.2593,0.22,LOW
102,892c2aa9c1bffff,1,0,0,14.2097,0.23,LOW
103,892c2aaaecbffff,1,0,0,14.2097,0.23,LOW
104,892c2aab32bffff,15,0,0,14.1645,0.38,LOW
105,892c2aab497ffff,2,0,0,14.1602,0.24,LOW
106,892c2aab16bffff,3,0,0,14.1107,0.25,LOW
107,892c2aa9543ffff,23,0,0,13.7683,0.46,LOW
108,892c2aab3d7ffff,0,0,0,13.6111,0.21,LOW
109,892c2aa845bffff,0,0,0,13.6111,0.21,LOW
110,892c2aa9573ffff,0,0,0,13.6111,0.21,LOW
111,892c2aaae77ffff,0,0,0,13.6111,0.21,LOW
112,892c2aa9857ffff,0,0,0,13.6111,0.21,LOW
113,892c2aab4a7ffff,1,0,0,13.5616,0.22,LOW
114,892c2aab3afffff,1,0,0,13.5616,0.22,LOW
115,892c2aab4bbffff,2,0,0,13.5121,0.23,LOW
116,892c2aa8613ffff,2,0,0,13.5121,0.23,LOW
117,892c2aa84cbffff,3,0,0,13.4625,0.24,LOW
118,892c2aa91c3ffff,3,0,0,13.4625,0.24,LOW
119,892c2aa86cfffff,8,0,0,13.2149,0.29,LOW
120,892c2aab3a3ffff,0,0,0,12.963,0.2,LOW
121,892c2aaaa8bffff,0,0,0,12.963,0.2,LOW
122,892c2aaae0fffff,0,0,0,12.963,0.2,LOW
123,892c2aa8407ffff,0,0,0,12.963,0.2,LOW
124,892c2aab48bffff,0,0,0,12.963,0.2,LOW
125,892c2aaae23ffff,0,0,0,12.963,0.2,LOW
126,892c2aaa15bffff,0,0,0,12.963,0.2,LOW
127,892c2a334c3ffff,0,0,0,12.963,0.2,LOW
128,892c2aab55bffff,1,0,0,12.9134,0.21,LOW
129,892c2aab447ffff,1,0,0,12.9134,0.21,LOW
130,892c2aa9157ffff,1,0,0,12.9134,0.21,LOW
131,892c2aa9033ffff,2,0,0,12.8639,0.22,LOW
132,892c2aab007ffff,5,0,0,12.7153,0.25,LOW
133,892c2aab547ffff,5,0,0,12.7153,0.25,LOW
134,892c2aab183ffff,7,0,0,12.6163,0.27,LOW
135,892c2aa865bffff,11,0,0,12.4182,0.31,LOW
136,892c2aa9cc7ffff,0,0,0,12.3148,0.19,LOW
137,892c2aab4abffff,0,0,0,12.3148,0.19,LOW
138,892c2aaa50bffff,0,0,0,12.3148,0.19,LOW
139,892c2aaa313ffff,0,0,0,12.3148,0.19,LOW
140,892c2aaae6fffff,0,0,0,12.3148,0.19,LOW
141,892c2aab4b7ffff,0,0,0,12.3148,0.19,LOW
142,892c2aab393ffff,14,0,0,12.2696,0.34,LOW
143,892c2aa9acbffff,1,0,0,12.2653,0.2,LOW
144,892c2aaa197ffff,1,0,0,12.2653,0.2,LOW
145,892c2aaa19bffff,1,0,0,12.2653,0.2,LOW
146,892c2aaa38bffff,1,0,0,12.2653,0.2,LOW
147,892c2ab9b4bffff,1,0,0,12.2653,0.2,LOW
148,892c2aaa3c3ffff,1,0,0,12.2653,0.2,LOW
149,892c2aa9c53ffff,1,0,0,12.2653,0.2,LOW
150,892c2aa900fffff,1,0,0,12.2653,0.2,LOW
151,892c2aa911bffff,1,0,0,12.2653,0.2,LOW
152,892c2aa9563ffff,2,0,0,12.2158,0.21,LOW
153,892c2aab4afffff,2,0,0,12.2158,0.21,LOW
154,892c2aab5cfffff,2,0,0,12.2158,0.21,LOW
155,892c2aab5dbffff,2,0,0,12.2158,0.21,LOW
156,892c2aa958bffff,3,0,0,12.1662,0.22,LOW
157,892c2aab333ffff,6,0,0,12.0177,0.25,LOW
158,892c2aab173ffff,7,0,0,11.9681,0.26,LOW
159,892c2aaa3cbffff,0,0,0,11.6667,0.18,LOW
160,892c2aaaad7ffff,0,0,0,11.6667,0.18,LOW
161,892c2aa86abffff,0,0,0,11.6667,0.18,LOW
162,892c2aa917bffff,0,0,0,11.6667,0.18,LOW
163,892c2aaa87bffff,0,0,0,11.6667,0.18,LOW
164,892c2aa95b7ffff,0,0,0,11.6667,0.18,LOW
165,892c2aa8453ffff,0,0,0,11.6667,0.18,LOW
166,892c2aaaa83ffff,0,0,0,11.6667,0.18,LOW
167,892c2ab9b7bffff,0,0,0,11.6667,0.18,LOW
168,892c2a06997ffff,0,0,0,11.6667,0.18,LOW
169,892c2aaae2fffff,0,0,0,11.6667,0.18,LOW
170,892c2aab48fffff,1,0,0,11.6171,0.19,LOW
171,892c2aa860fffff,1,0,0,11.6171,0.19,LOW
172,892c2aab36bffff,2,0,0,11.5676,0.2,LOW
173,892c2aab017ffff,2,0,0,11.5676,0.2,LOW
174,892c2aab107ffff,2,0,0,11.5676,0.2,LOW
175,892c2aaa8c7ffff,3,0,0,11.5181,0.21,LOW
176,892c2aa8647ffff,3,0,0,11.5181,0.21,LOW
177,892c2aa8403ffff,0,0,0,11.0185,0.17,LOW
178,892c2a06987ffff,0,0,0,11.0185,0.17,LOW
179,892c2aaa523ffff,0,0,0,11.0185,0.17,LOW
180,892c2aa9d43ffff,0,0,0,11.0185,0.17,LOW
